Date,Close/Last,Volume,Open,High,Low,Column 7
02/24/2020,170.89,68311070,167.77,174.55,163.23,0
02/25/2020,168.07,68073300,174.2,174.55,167.65,1
02/26/2020,170.17,56387150,169.71,174.55,168.21,2
02/27/2020,158.18,93174910,163.32,167.03,157.98,3
02/28/2020,162.01,97073560,152.41,163.71,152,4
03/02/2020,172.79,71030810,165.31,172.92,162.31,5
03/03/2020,164.51,71677020,173.8,175,162.26,6
03/04/2020,170.55,49814380,168.49,170.7,165.62,7
03/05/2020,166.27,47817250,166.05,170.87,165.69,8
03/06/2020,161.57,72821060,162.61,163.11,156,9
03/09/2020,150.62,70419270,151,157.75,150,10
03/10/2020,160.92,65354390,158.16,161.03,152.58,11
03/11/2020,153.63,56504300,157.13,157.7,151.15,12
03/12/2020,139.06,93226370,145.3,153.47,138.58,13
03/13/2020,158.83,92727450,147.5,161.91,140.73,14
03/16/2020,135.42,87905870,140,149.35,135,15
03/17/2020,146.57,81059820,140,147.5,135,16
03/18/2020,140.4,81593170,138,146,135.02,17
03/19/2020,142.71,85922660,142.77,150.15,139,18
03/20/2020,137.35,84866220,146,147.1,135.86,19
03/23/2020,135.98,78975180,137.01,140.57,132.52,20
03/24/2020,148.34,82516730,143.75,149.6,141.27,21
03/25/2020,146.92,75638220,148.91,154.33,144.44,22
03/26/2020,156.11,64694430,148.4,156.66,148.37,23
03/27/2020,149.7,57042290,151.75,154.89,149.2,24
03/30/2020,160.23,63420330,152.44,160.6,150.01,25
03/31/2020,157.71,77927190,159.4,164.78,156.56,26
04/01/2020,152.11,57969930,153,157.75,150.82,27
04/02/2020,155.26,49630740,151.86,155.48,150.36,28
04/03/2020,153.83,41243280,155.1,157.38,152.19,29
04/06/2020,165.27,67111700,160.32,166.5,157.58,30
04/07/2020,163.49,62769040,169.59,170,163.26,31
04/08/2020,165.13,48318230,165.67,166.67,163.5,32
04/09/2020,165.14,51431780,166.36,167.37,163.33,33
04/13/2020,165.51,41905260,164.35,165.57,162.3,34
04/14/2020,173.7,52874340,169,173.75,168,35
04/15/2020,171.88,40940830,171.2,173.57,169.24,36
04/16/2020,177.04,50479610,174.3,177.28,172.9,37
04/17/2020,178.6,52765630,179.5,180,175.87,38
04/20/2020,175.06,36669560,176.63,178.75,174.99,39
04/21/2020,167.82,56203750,173.5,173.67,166.11,40
04/22/2020,173.52,34651600,171.39,174,170.82,41
04/23/2020,171.42,32790800,174.11,175.06,170.91,42
04/24/2020,174.55,34305320,172.06,174.56,170.71,43
04/27/2020,174.05,33194380,176.59,176.9,173.3,44
04/28/2020,169.81,34392690,175.59,175.67,169.39,45
04/29/2020,177.43,51286560,173.22,177.68,171.88,46
04/30/2020,179.21,53875860,180,180.4,176.23,47
05/01/2020,174.57,39370470,175.8,178.64,174.01,48
05/04/2020,178.84,30372860,174.49,179,173.8,49
05/05/2020,180.76,36839170,180.62,183.65,179.9,50
05/06/2020,182.54,32139300,182.08,184.2,181.63,51
05/07/2020,183.6,28315990,184.17,184.55,182.58,52
05/08/2020,184.68,30912640,184.98,185,183.36,53
05/11/2020,186.74,30892660,183.15,187.51,182.85,54
05/12/2020,182.51,32038200,186.8,187.04,182.3,55
05/13/2020,179.75,44711490,182.55,184.05,176.54,56
05/14/2020,180.53,41873910,177.54,180.69,175.68,57
05/15/2020,183.16,46610380,179.06,187.06,177,58
05/18/2020,184.91,35306620,185.75,186.2,183.96,59
05/19/2020,183.63,26799120,185.03,186.6,183.49,60
05/20/2020,185.66,31261330,184.81,185.85,183.94,61
05/21/2020,183.43,29119510,185.4,186.67,183.29,62
05/22/2020,183.51,20826900,183.19,184.46,182.54,63
05/26/2020,181.57,36073610,186.34,186.5,181.1,64
05/27/2020,181.81,39517150,180.2,181.99,176.6,65
05/28/2020,181.4,33831820,180.74,184.15,180.38,66
05/29/2020,183.25,42146720,182.73,184.27,180.41,67
06/01/2020,182.83,22668820,182.54,183,181.46,68
06/02/2020,184.91,30794590,184.25,185,181.35,69
06/03/2020,185.36,27311020,184.82,185.94,183.58,70
06/04/2020,182.92,28761810,184.3,185.84,182.3,71
06/05/2020,187.2,39893640,182.62,187.73,182.01,72
06/08/2020,188.36,33211590,185.94,188.55,184.44,73
06/09/2020,189.8,29783920,188,190.7,187.26,74
06/10/2020,196.84,43872330,191.13,198.52,191.01,75
06/11/2020,186.27,52854670,193.13,195.76,186.07,76
06/12/2020,187.74,43373590,190.54,191.72,185.18,77
06/15/2020,188.94,32770190,184.58,190.82,184.01,78
06/16/2020,193.57,42556660,192.89,195.58,191.46,79
06/17/2020,194.24,25687820,195.03,196.32,193.69,80
06/18/2020,196.32,23061650,194,196.49,194,81
06/19/2020,195.15,44441140,198.59,199.29,194.37,82
06/22/2020,200.57,32818930,195.79,200.76,195.23,83
06/23/2020,201.91,30917450,202.09,203.95,201.43,84
06/24/2020,197.84,36740650,201.6,203.25,196.56,85
06/25/2020,200.34,27803930,197.8,200.61,195.47,86
06/26/2020,196.33,54675780,199.73,199.89,194.88,87
06/29/2020,198.44,26701590,195.78,198.53,193.55,88
06/30/2020,203.51,34310280,197.88,204.4,197.74,89
07/01/2020,204.7,32061210,203.14,206.35,201.77,90
07/02/2020,206.26,29315760,205.68,208.02,205,91
07/06/2020,210.7,31897630,208.83,211.13,208.09,92
07/07/2020,208.25,33600730,210.45,214.67,207.99,93
07/08/2020,212.83,33600030,210.07,213.26,208.69,94
07/09/2020,214.32,33121680,216.33,216.38,211.47,95
07/10/2020,213.67,26177630,213.62,214.08,211.08,96
07/13/2020,207.07,38135610,214.48,215.8,206.5,97
07/14/2020,208.35,37591820,206.13,208.85,202.03,98
07/15/2020,208.04,32179410,209.56,211.33,205.03,99
07/16/2020,203.92,29940650,205.4,205.7,202.31,100
07/17/2020,202.88,31635280,204.47,205.04,201.39,101
07/20/2020,211.6,36884840,205,212.3,203.01,102
07/21/2020,208.75,38105780,213.66,213.94,208.03,103
07/22/2020,211.75,49605690,209.2,212.3,208.39,104
07/23/2020,202.54,67457040,207.19,210.92,202.15,105
07/24/2020,201.3,39826990,200.42,202.86,197.51,106
07/27/2020,203.85,30160870,201.47,203.97,200.86,107
07/28/2020,202.02,23251390,203.61,204.7,201.74,108
07/29/2020,204.06,19632600,202.5,204.65,202.01,109
07/30/2020,203.9,25079600,201,204.46,199.57,110
07/31/2020,205.01,51247970,204.4,205.1,199.01,111
08/03/2020,216.54,78983010,211.52,217.64,210.44,112
08/04/2020,213.29,49280060,214.17,214.77,210.31,113
08/05/2020,212.94,28858620,214.9,215,211.57,114
08/06/2020,216.35,32656840,212.34,216.37,211.55,115
08/07/2020,212.48,27820420,214.85,215.7,210.93,116
08/10/2020,208.25,36716460,211.67,211.88,206.35,117
08/11/2020,203.38,36446460,207.16,207.65,203.14,118
08/12/2020,209.19,28041360,205.29,210.28,204.75,119
08/13/2020,208.7,22588870,209.44,211.35,208.15,120
08/14/2020,208.9,17958940,208.76,209.59,207.51,121
08/17/2020,210.28,20184760,209.6,211.19,208.92,122
08/18/2020,211.49,21336170,210.53,212.36,209.21,123
08/19/2020,209.7,27627560,211.49,212.1,209.25,124
08/20/2020,214.58,26981480,209.54,215,208.91,125
08/21/2020,213.02,36249320,213.86,216.25,212.85,126
08/24/2020,213.69,25460150,214.79,215.52,212.43,127
08/25/2020,216.47,23043700,213.1,216.61,213.1,128
08/26/2020,221.15,39600830,217.88,222.09,217.36,129
08/27/2020,226.58,57602200,222.89,231.15,219.4,130
08/28/2020,228.91,26292900,228.18,230.64,226.58,131
08/31/2020,225.53,28774160,227,228.7,224.31,132
09/01/2020,227.27,25791240,225.51,227.45,224.43,133
09/02/2020,231.65,34080840,227.97,232.86,227.35,134
09/03/2020,217.3,58400290,229.27,229.31,214.96,135
09/04/2020,214.25,59664070,215.1,218.36,205.19,136
09/08/2020,202.66,52924330,206.5,210.03,202.2,137
09/09/2020,211.29,45678990,207.6,214.84,206.7,138
09/10/2020,205.37,35461510,213.4,214.74,204.11,139
09/11/2020,204.03,33620070,207.2,208.63,201.24,140
09/14/2020,205.41,30375770,204.24,209.2,204.03,141
09/15/2020,208.78,21823940,208.42,209.78,206.93,142
09/16/2020,205.05,26372460,210.62,210.65,204.64,143
09/17/2020,202.91,34011260,200.05,204.33,199.96,144
09/18/2020,200.39,55225330,202.8,203.65,196.25,145
09/21/2020,202.54,39839660,197.19,202.71,196.38,146
09/22/2020,207.42,33517070,205.06,208.1,202.08,147
09/23/2020,200.59,30803780,207.9,208.1,200.03,148
09/24/2020,203.19,31202490,199.85,205.57,199.2,149
09/25/2020,207.82,29437310,203.55,209.04,202.54,150
09/28/2020,209.44,32004940,210.88,212.57,208.06,151
09/29/2020,207.26,24464470,209.35,210.07,206.81,152
09/30/2020,210.33,33829090,207.73,211.98,206.54,153
10/01/2020,212.46,27158420,213.49,213.99,211.32,154
10/02/2020,206.19,33154780,208,210.99,205.54,155
10/05/2020,210.38,21331560,207.22,210.41,206.98,156
10/06/2020,205.91,28554260,208.82,210.18,204.82,157
10/07/2020,209.83,25681050,207.06,210.11,206.72,158
10/08/2020,210.58,19925840,210.51,211.19,208.32,159
10/09/2020,215.81,26458050,211.23,215.86,211.23,160
10/12/2020,221.4,40461370,218.79,223.86,216.81,161
10/13/2020,222.86,28950840,222.72,225.21,220.43,162
10/14/2020,220.86,23451710,223,224.22,219.13,163
10/15/2020,219.66,22733060,217.1,220.36,216.01,164
10/16/2020,219.66,26057880,220.15,222.29,219.32,165
10/19/2020,214.22,27625840,220.42,222.3,213.72,166
10/20/2020,214.65,22753510,215.8,217.37,213.09,167
10/21/2020,214.8,22724910,213.12,216.92,213.12,168
10/22/2020,214.89,22351450,213.93,216.06,211.7,169
10/23/2020,216.23,18879610,215.03,216.28,213.16,170
10/26/2020,210.08,37111560,213.85,216.34,208.1,171
10/27/2020,213.25,36700330,211.59,214.67,210.33,172
10/28/2020,202.68,51195590,207.67,208.84,202.1,173
10/29/2020,204.72,31432560,204.07,207.36,203.37,174
10/30/2020,202.47,36980110,203.5,204.29,199.62,175
11/02/2020,202.33,30842160,204.29,205.28,200.12,176
11/03/2020,206.43,27512030,203.89,208.12,203.12,177
11/04/2020,216.39,42311780,214.02,218.32,212.42,178
11/05/2020,223.29,36080140,222.04,224.12,221.15,179
11/06/2020,223.72,25231900,222.26,224.36,218.03,180
11/09/2020,218.39,44394950,224.44,228.12,217.88,181
11/10/2020,211.01,44045120,214.5,216.5,209.72,182
11/11/2020,216.55,29440790,212.39,218.04,212.2,183
11/12/2020,215.44,21616120,217.21,219.11,214.46,184
11/13/2020,216.51,18630310,216.36,217.42,214.16,185
11/16/2020,217.23,24953340,214.87,217.74,214.52,186
11/17/2020,214.46,24154110,216.1,217.68,214.08,187
11/18/2020,211.08,28372790,213.65,215.17,210.93,188
11/19/2020,212.42,24792750,211.38,213.03,209.93,189
11/20/2020,210.39,22843120,212.2,213.29,210,190
11/23/2020,210.11,25683510,210.95,212.29,208.16,191
11/24/2020,213.86,33979730,209.59,214.25,208.86,192
11/25/2020,213.87,21012890,215.11,215.29,212.46,193
11/27/2020,215.23,14512210,214.85,216.27,214.04,194
11/30/2020,214.07,33064750,214.1,214.76,210.84,195
12/01/2020,216.21,30931320,214.51,217.32,213.35,196
12/02/2020,215.37,23724510,214.88,215.47,212.8,197
12/03/2020,214.24,25120920,214.61,216.38,213.65,198
12/04/2020,214.36,24666040,214.22,215.38,213.18,199
12/07/2020,214.29,24620000,214.37,215.54,212.99,200
12/08/2020,216.01,23284090,213.97,216.95,212.89,201
12/09/2020,211.8,32440600,215.16,215.23,211.21,202
12/10/2020,210.52,26467020,211.77,213.08,210.36,203
12/11/2020,213.26,30979440,210.05,213.32,209.11,204
12/14/2020,214.2,28798380,213.1,216.21,212.88,205
12/15/2020,214.13,27018110,215.17,215.42,212.24,206
12/16/2020,219.28,35023250,214.75,220.11,214.72,207
12/17/2020,219.42,32515780,219.87,220.89,217.92,208
12/18/2020,218.59,63354920,218.59,219.69,216.02,209
12/21/2020,222.59,37181890,217.55,224,217.28,210
12/22/2020,223.94,22643400,222.69,225.63,221.85,211
12/23/2020,221.02,18699640,223.11,223.56,220.8,212
12/24/2020,222.75,10550570,221.42,223.61,221.2,213
12/28/2020,224.96,17933500,224.45,226.03,223.02,214
12/29/2020,224.15,17403210,226.31,227.18,223.58,215
12/30/2020,221.68,20272340,225.23,225.63,221.47,216
12/31/2020,222.42,20942130,221.7,223,219.68,217
01/04/2021,217.69,37130140,222.53,223,214.81,218
01/05/2021,217.9,23822950,217.26,218.52,215.7,219
01/06/2021,212.25,35930650,212.17,216.49,211.94,220
01/07/2021,218.29,27694480,214.04,219.34,213.71,221
01/08/2021,219.62,22956210,218.68,220.58,217.03,222
01/11/2021,217.49,23047030,218.47,218.91,216.73,223
01/12/2021,214.93,23249340,216.5,217.1,213.32,224
01/13/2021,216.34,20087080,214.02,216.76,213.93,225
01/14/2021,213.02,29346740,215.91,217.46,212.74,226
01/15/2021,212.65,31746510,213.52,214.51,212.03,227
01/19/2021,216.44,30480860,213.75,216.98,212.63,228
01/20/2021,224.34,37777260,217.7,225.79,217.29,229
01/21/2021,224.97,30749550,224.7,226.3,222.42,230
01/22/2021,225.95,30172660,227.08,230.07,225.8,231
01/25/2021,229.53,33152100,229.12,229.78,224.22,232
01/26/2021,232.33,49169600,231.86,234.18,230.08,233
01/27/2021,232.9,69870640,238,240.44,230.14,234
01/28/2021,238.93,49111160,235.61,242.64,235.09,235
01/29/2021,231.96,42503140,235.99,238.02,231.35,236
02/01/2021,239.65,33314190,235.06,242.5,232.43,237
02/02/2021,239.51,25916340,241.3,242.31,238.69,238
02/03/2021,243,27158100,239.57,245.09,239.26,239
02/04/2021,242.01,25296100,242.66,243.24,240.37,240
02/05/2021,242.2,18054750,242.23,243.28,240.42,241
02/08/2021,242.47,22211930,243.15,243.68,240.81,242
02/09/2021,243.77,23564950,241.87,244.76,241.38,243
02/10/2021,242.82,22186710,245,245.92,240.89,244
02/11/2021,244.49,15751060,244.78,245.15,242.15,245
02/12/2021,244.99,16561080,243.93,245.3,242.73,246
02/16/2021,243.7,26728490,245.03,246.13,242.92,247
02/17/2021,244.2,21673110,241.32,244.31,240.94,248
02/18/2021,243.79,16925560,241.8,243.93,240.86,249
02/19/2021,240.97,25262600,243.75,243.86,240.18,250
02/22/2021,234.51,36446940,237.42,237.93,232.4,251
02/23/2021,233.27,30228700,230.33,234.83,228.73,252
02/24/2021,234.55,26339750,230.01,235.2,229,253
02/25/2021,228.99,39542240,232.08,234.59,227.88,254
02/26/2021,232.38,37819230,231.53,235.37,229.54,255
03/01/2021,236.94,25332840,235.9,237.47,233.15,256
03/02/2021,233.87,22812460,237.01,237.3,233.45,257
03/03/2021,227.56,34029530,232.16,233.58,227.26,258
03/04/2021,226.73,44727790,226.74,232.49,224.26,259
03/05/2021,231.6,41872770,229.52,233.27,226.46,260
03/08/2021,227.39,35267440,231.37,233.37,227.13,261
03/09/2021,233.78,33080530,232.88,235.38,231.67,262
03/10/2021,232.42,29746810,237,237,232.04,263
03/11/2021,237.13,29907590,234.96,239.17,234.31,264
03/12/2021,235.75,22653660,234.01,235.82,233.23,265
03/15/2021,234.81,26042670,234.96,235.19,231.81,266
03/16/2021,237.71,28092200,236.28,240.06,235.94,267
03/17/2021,237.04,29562100,236.15,238.55,233.23,268
03/18/2021,230.72,34852250,232.56,234.19,230.33,269
03/19/2021,230.35,46430730,231.02,232.47,229.35,270
03/22/2021,235.99,30127010,230.27,236.9,230.14,271
03/23/2021,237.58,31638380,237.49,241.05,237.07,272
03/24/2021,235.46,25620130,237.85,238,235.32,273
03/25/2021,232.34,34061850,235.3,236.94,231.57,274
03/26/2021,236.48,25479850,231.55,236.71,231.55,275
03/29/2021,235.24,25227460,236.59,236.8,231.88,276
03/30/2021,231.85,24792010,233.53,233.85,231.1,277
03/31/2021,235.77,43623470,232.91,239.1,232.39,278
04/01/2021,242.35,30337980,238.47,242.84,238.05,279
04/05/2021,249.07,36910610,242.76,249.96,242.7,280
04/06/2021,247.86,22931920,247.61,249.4,246.88,281
04/07/2021,249.9,22719840,247.81,250.93,247.19,282
04/08/2021,253.25,23625200,252.77,254.14,252,283
04/09/2021,255.85,24326830,252.87,255.99,252.44,284
04/12/2021,255.91,27148670,254.71,257.67,254.62,285
04/13/2021,258.49,23837470,257.26,259.19,256.83,286
04/14/2021,255.59,23070940,257.48,258.83,255.16,287
04/15/2021,259.5,25627480,257.93,259.93,257.73,288
04/16/2021,260.74,24878580,259.47,261,257.6,289
04/19/2021,258.74,23209260,260.19,261.48,257.82,290
04/20/2021,258.26,19722880,257.82,260.2,256.84,291
04/21/2021,260.58,24030380,258.94,260.68,257.25,292
04/22/2021,257.17,25606150,260.21,261.78,255.64,293
04/23/2021,261.15,21499290,257.88,261.51,257.27,294
04/26/2021,261.55,19763350,261.66,262.44,260.17,295
04/27/2021,261.97,31014210,261.59,263.19,260.12,296
04/28/2021,254.56,46903120,256.08,256.54,252.95,297
04/29/2021,252.51,40589020,255.46,256.1,249,298
04/30/2021,252.18,30945100,249.74,253.08,249.6,299
05/03/2021,251.86,19626570,253.4,254.35,251.12,300
05/04/2021,247.79,32756050,250.97,251.21,245.76,301
05/05/2021,246.47,21901330,249.06,249.5,245.82,302
05/06/2021,249.73,26491090,246.45,249.86,244.69,303
