Date,Close/Last,Volume,Open,High,Low,Day
02/24/2025,$404.00,26443660,$408.51,$409.37,$399.32,0
02/21/2025,$408.21,27524800,$417.34,$418.05,$407.89,1
02/20/2025,$416.13,23508730,$415.29,$419.31,$412.54,2
02/19/2025,$414.77,24114200,$407.88,$415.49,$407.65,3
02/18/2025,$409.64,21423050,$408.00,$410.60,$406.50,4
02/14/2025,$408.43,22758460,$407.79,$408.91,$405.88,5
02/13/2025,$410.54,23891730,$407.00,$411.00,$406.36,6
02/12/2025,$409.04,19121730,$407.21,$410.75,$404.37,7
02/11/2025,$411.44,18140590,$409.64,$412.49,$409.30,8
02/10/2025,$412.22,20817920,$413.71,$415.46,$410.92,9
02/07/2025,$409.75,22886840,$416.48,$418.65,$408.10,10
02/06/2025,$415.82,16309760,$414.00,$418.20,$414.00,11
02/05/2025,$413.29,16336190,$412.35,$413.83,$410.40,12
02/04/2025,$412.37,20532100,$412.69,$413.92,$409.74,13
02/03/2025,$410.92,25679150,$411.60,$415.41,$408.66,14
01/31/2025,$415.06,34223390,$418.98,$420.69,$414.91,15
01/30/2025,$414.99,54586260,$418.77,$422.86,$413.16,16
01/29/2025,$442.33,23581370,$446.69,$446.88,$440.40,17
01/28/2025,$447.20,23491700,$434.60,$448.38,$431.38,18
01/27/2025,$434.56,35647810,$424.01,$435.20,$423.50,19
01/24/2025,$444.06,15549450,$445.16,$446.65,$441.40,20
01/23/2025,$446.71,18389270,$442.00,$446.75,$441.50,21
01/22/2025,$446.20,27803810,$437.56,$447.27,$436.00,22
01/21/2025,$428.50,26085700,$430.20,$430.90,$425.60,23
01/17/2025,$429.03,26197510,$434.09,$434.48,$428.17,24
01/16/2025,$424.58,15300020,$428.70,$429.49,$424.39,25
01/15/2025,$426.31,19637840,$419.13,$428.15,$418.27,26
01/14/2025,$415.67,16935860,$417.81,$419.74,$410.72,27
01/13/2025,$417.19,17604780,$415.24,$418.50,$412.29,28
01/10/2025,$418.95,20201130,$424.63,$424.71,$415.02,29
01/08/2025,$424.56,15054580,$423.46,$426.97,$421.54,30
01/07/2025,$422.37,18139070,$429.00,$430.65,$420.80,31
01/06/2025,$427.85,20573650,$428.00,$434.32,$425.48,32
01/03/2025,$423.35,16662940,$421.08,$424.03,$419.54,33
01/02/2025,$418.58,16896470,$425.53,$426.07,$414.85,34
12/31/2024,$421.50,13246510,$426.10,$426.73,$420.66,35
12/30/2024,$424.83,13158700,$426.06,$427.55,$421.90,36
12/27/2024,$430.53,18117710,$434.60,$435.22,$426.35,37
12/26/2024,$438.11,8199927,$439.08,$440.94,$436.63,38
12/24/2024,$439.33,7164543,$434.65,$439.60,$434.19,39
12/23/2024,$435.25,19152520,$436.74,$437.65,$432.83,40
12/20/2024,$436.60,64263690,$433.11,$443.74,$428.63,41
12/19/2024,$437.03,22963680,$441.62,$443.18,$436.32,42
12/18/2024,$437.39,24444550,$451.32,$452.65,$437.02,43
12/17/2024,$454.46,22733490,$451.01,$455.29,$449.57,44
12/16/2024,$451.59,23598830,$447.27,$452.18,$445.28,45
12/13/2024,$447.27,20177830,$448.44,$451.43,$445.58,46
12/12/2024,$449.56,20834780,$449.11,$456.16,$449.11,47
12/11/2024,$448.99,19200210,$444.05,$450.35,$444.05,48
12/10/2024,$443.33,18469460,$444.39,$449.62,$441.60,49
12/09/2024,$446.02,19144390,$442.60,$448.33,$440.50,50
12/06/2024,$443.57,18821000,$442.30,$446.10,$441.77,51
12/05/2024,$442.62,21697780,$437.92,$444.66,$436.17,52
12/04/2024,$437.42,26009430,$433.03,$439.67,$432.63,53
12/03/2024,$431.20,18301990,$429.84,$432.47,$427.74,54
12/02/2024,$430.98,20207220,$421.57,$433.00,$421.31,55
11/29/2024,$423.46,16271920,$420.09,$424.88,$417.80,56
11/27/2024,$422.99,18332440,$425.11,$427.23,$422.02,57
11/26/2024,$427.99,23458890,$419.59,$429.04,$418.85,58
11/25/2024,$418.79,27691090,$418.38,$421.08,$414.85,59
11/22/2024,$417.00,24814630,$411.37,$417.40,$411.06,60
11/21/2024,$412.87,20780160,$419.50,$419.78,$410.29,61
11/20/2024,$415.49,19191660,$416.87,$417.29,$410.58,62
11/19/2024,$417.79,18133530,$413.11,$417.94,$411.55,63
11/18/2024,$415.76,24742010,$414.87,$418.40,$412.10,64
11/15/2024,$415.00,28247640,$419.82,$422.80,$413.64,65
11/14/2024,$426.89,30246880,$425.00,$428.17,$420.00,66
11/13/2024,$425.20,21502190,$421.64,$429.33,$418.21,67
11/12/2024,$423.03,19401200,$418.25,$424.44,$417.20,68
11/11/2024,$418.01,24503320,$422.52,$424.81,$416.00,69
11/08/2024,$422.54,16891410,$425.32,$426.50,$421.78,70
11/07/2024,$425.43,19901780,$421.28,$426.85,$419.88,71
11/06/2024,$420.18,26681840,$412.42,$420.45,$410.52,72
11/05/2024,$411.46,17626010,$408.37,$414.90,$408.08,73
11/04/2024,$408.46,19672290,$409.80,$410.42,$405.57,74
11/01/2024,$410.37,24230440,$409.01,$415.50,$407.50,75
10/31/2024,$406.35,53970980,$415.36,$416.16,$406.30,76
10/30/2024,$432.53,29749150,$437.44,$438.50,$432.10,77
10/29/2024,$431.95,17644080,$428.00,$433.17,$425.80,78
10/28/2024,$426.59,14882440,$431.66,$431.94,$426.30,79
10/25/2024,$428.15,16899060,$426.76,$432.52,$426.57,80
10/24/2024,$424.73,13581630,$425.33,$425.98,$422.40,81
10/23/2024,$424.60,19654380,$430.86,$431.08,$422.53,82
10/22/2024,$427.51,25482200,$418.49,$430.58,$418.04,83
10/21/2024,$418.78,14206120,$416.12,$418.96,$413.75,84
10/18/2024,$418.16,17145320,$417.14,$419.65,$416.26,85
10/17/2024,$416.72,14820000,$422.36,$422.50,$415.59,86
10/16/2024,$416.12,15508930,$415.17,$416.36,$410.48,87
10/15/2024,$418.74,18900200,$422.18,$422.48,$415.26,88
10/14/2024,$419.14,16653090,$417.77,$424.04,$417.52,89
10/11/2024,$416.32,14144940,$416.14,$417.13,$413.25,90
10/10/2024,$415.84,13848380,$415.23,$417.35,$413.15,91
10/09/2024,$417.46,14974260,$415.86,$420.38,$414.30,92
10/08/2024,$414.71,19229260,$410.90,$415.66,$408.17,93
10/07/2024,$409.54,20919760,$416.00,$417.11,$409.00,94
10/04/2024,$416.06,19190910,$418.24,$419.75,$414.97,95
10/03/2024,$416.54,13686420,$417.63,$419.55,$414.29,96
10/02/2024,$417.13,16582260,$422.58,$422.82,$416.71,97
10/01/2024,$420.69,19092950,$428.45,$428.48,$418.81,98
09/30/2024,$430.30,16854610,$428.21,$430.42,$425.37,99
09/27/2024,$428.02,14896130,$431.52,$431.85,$427.47,100
09/26/2024,$431.31,14492040,$435.09,$435.30,$429.13,101
09/25/2024,$432.11,13396360,$429.83,$433.12,$428.57,102
09/24/2024,$429.17,17015750,$433.00,$433.35,$426.10,103
09/23/2024,$433.51,15128890,$434.28,$436.46,$430.39,104
09/20/2024,$435.27,55167110,$437.22,$439.24,$434.22,105
09/19/2024,$438.69,21706560,$441.23,$441.50,$436.90,106
09/18/2024,$430.81,18898040,$435.00,$436.03,$430.41,107
09/17/2024,$435.15,18874230,$440.23,$441.85,$432.27,108
09/16/2024,$431.34,13834700,$430.60,$433.53,$428.22,109
09/13/2024,$430.59,15874560,$425.83,$431.83,$425.46,110
09/12/2024,$427.00,17418760,$423.31,$427.37,$419.75,111
09/11/2024,$423.04,19266920,$415.50,$423.99,$409.58,112
09/10/2024,$414.20,19594290,$408.20,$416.33,$407.70,113
09/09/2024,$405.72,15295130,$407.24,$408.65,$402.15,114
09/06/2024,$401.70,19609530,$409.06,$410.65,$400.80,115
09/05/2024,$408.39,14195520,$407.62,$413.10,$406.13,116
09/04/2024,$408.90,15135810,$405.91,$411.24,$404.37,117
09/03/2024,$409.44,20313600,$417.91,$419.88,$407.03,118
08/30/2024,$417.14,24308320,$415.60,$417.49,$412.13,119
08/29/2024,$413.12,17045240,$414.94,$422.05,$410.60,120
08/28/2024,$410.60,14882660,$414.88,$415.00,$407.31,121
08/27/2024,$413.84,13492910,$412.86,$414.36,$410.25,122
08/26/2024,$413.49,13152830,$416.37,$417.28,$411.34,123
08/23/2024,$416.79,18493780,$416.98,$419.26,$412.09,124
08/22/2024,$415.55,19361900,$424.36,$426.79,$414.61,125
08/21/2024,$424.14,16067300,$424.08,$426.40,$421.72,126
08/20/2024,$424.80,16387580,$421.70,$425.86,$421.64,127
08/19/2024,$421.53,15233960,$418.96,$421.75,$416.46,128
08/16/2024,$418.47,22775590,$420.60,$421.34,$417.30,129
08/15/2024,$421.03,20752140,$419.80,$421.11,$417.66,130
08/14/2024,$416.86,18266980,$414.80,$417.72,$412.45,131
08/13/2024,$414.01,19414270,$409.59,$414.95,$409.57,132
08/12/2024,$406.81,16762880,$407.06,$408.76,$404.24,133
08/09/2024,$406.02,19276670,$404.03,$408.05,$402.26,134
08/08/2024,$402.69,20203030,$402.44,$405.86,$399.94,135
08/07/2024,$398.43,20650910,$408.64,$410.08,$397.47,136
08/06/2024,$399.61,24946530,$400.00,$405.67,$398.50,137
08/05/2024,$395.15,40709240,$389.17,$401.04,$385.58,138
08/02/2024,$408.49,29437900,$412.49,$415.00,$404.34,139
08/01/2024,$417.11,30296400,$420.79,$427.46,$413.09,140
07/31/2024,$418.35,42891370,$420.50,$421.78,$412.21,141
07/30/2024,$422.92,32687580,$427.72,$429.05,$417.36,142
07/29/2024,$426.73,15125840,$431.58,$432.15,$424.70,143
07/26/2024,$425.27,23583840,$418.20,$428.92,$417.27,144
07/25/2024,$418.40,29943800,$428.80,$429.80,$417.51,145
07/24/2024,$428.90,26805800,$440.45,$441.48,$427.59,146
07/23/2024,$444.85,13107050,$443.90,$448.39,$443.10,147
07/22/2024,$442.94,15808760,$441.79,$444.60,$438.91,148
07/19/2024,$437.11,20940420,$433.10,$441.14,$432.00,149
07/18/2024,$440.37,20794820,$444.34,$444.65,$434.40,150
