Timestamp,PC_or_Console,Type_of_Computer,Type_of_Console,Daily_Usage_(Hours),Video_Game_Usage_(Hours)
4/13/2025 18:22:18,Console,,Playstation,6,6
4/13/2025 18:22:28,PC,Desktop,,22,12
4/13/2025 18:23:22,Console,,Playstation,4,4
4/13/2025 18:23:32,Console,,Playstation,7,5
4/13/2025 18:23:42,Console,,Playstation,3,3
4/13/2025 18:23:51,Console,,Nintendo,1,1
4/13/2025 18:24:04,PC,PC,,6,0.5
4/13/2025 18:24:14,PC,Desktop,,8,0
4/13/2025 18:24:59,Console,,Xbox,11,4
4/13/2025 18:26:34,PC,PC,,9,3
4/13/2025 18:26:53,PC,PC,,4,3
4/13/2025 18:27:01,PC,PC,,7,7
4/13/2025 18:27:18,PC,PC,,10,5
4/13/2025 18:27:28,PC,PC,,12,2
4/13/2025 18:28:51,PC,PC,,8,5
4/13/2025 18:29:01,PC,Laptop,,6,0
4/13/2025 18:29:09,PC,PC,,2,1
4/13/2025 18:29:17,Console,,Playstation,0,0
4/13/2025 18:30:27,Console,,Playstation,5,5
4/13/2025 18:30:39,PC,PC,,4,0
4/13/2025 18:31:11,PC,PC,,0,0
4/13/2025 18:31:35,PC,PC,,9,8
4/13/2025 18:31:45,Console,,Playstation,4,3
4/13/2025 18:32:09,Console,,Nintendo,1,1
4/13/2025 18:32:21,PC,Laptop,,5,0.5
4/13/2025 18:32:38,Console,,Playstation,8,5
4/13/2025 18:33:25,Console,,Xbox,7,4
4/13/2025 18:33:32,PC,PC,,7,4
4/13/2025 18:33:41,PC,Laptop,,12,2
4/13/2025 18:33:48,Console,,Xbox,3,2
4/13/2025 18:34:02,PC,PC,,11,5
